Run ID,date,Model,Experiment Type,Dataset,Centrality,Homo,Homo_std,NMI,NMI_std,Sim@10,Sim@16,Sim@20,Sim@4,Sim@5,Sim@8,_runtime,_step,_timestamp,_wandb,accuracy,accuracy_std,auc,auc_std,class_accuracy,demographic_parity_difference,demographic_parity_difference_std,demographic_parity_ratio,demographic_parity_ratio_std,epoch,f1_score,f1_score_std,imparity,imparity_std,loss,loss_neig,loss_self,loss_structure,precision,precision_std,recall,recall_std
o14b3ym4,20241113,BLNN,drop_edge,twitch-de,degree,1.2011074355861102,0.0,1.2804324936034093,0.0,59.1156005859375,58.958465576171875,58.78764343261719,59.33617401123047,59.311431884765625,59.295379638671875,836.652861512,1999,1731467344.4951253,{'runtime': 837},65.87840505329649,0.5154291483728548,61.65184982362793,0.8078374888896832,"[[0.5438719390857795, 0.6437171557590637], [0.20510011654357385, 0.948547457383638]]",0.34954237170072566,0.031884442646308304,0.6125445409939755,0.03271683579346303,1999,64.29959297401761,0.8014059966087523,0.3182525328908012,0.03389256603337907,-0.3965407609939575,-0.9741769433021544,0.577636182308197,0.0,64.93040869581542,0.5707768304805154,65.87840505329649,0.5154291483728548
x0uuwp72,20241113,BLNN,drop_edge_weighted,twitch-de,degree,1.1190469500612583,1.734723475976807e-16,1.1678339946614282,0.0,59.04085159301758,58.813697814941406,58.70551300048828,59.494102478027344,59.43146896362305,59.19272232055664,835.773826212,1999,1731468189.4533355,{'runtime': 836},67.02526648243189,0.49393101835103925,63.04461615379597,0.699018481897789,"[[0.549859563891342, 0.6546431920368277], [0.26294370051833593, 0.9440508329223268]]",0.3261899796047235,0.02857826913686685,0.6300049547275572,0.03037597307966248,1999,65.67197057853913,0.7092468070279014,0.2884222632968568,0.03042093277190302,-0.35492032766342163,-0.96592116355896,0.6110008358955383,0.0,66.20412575632956,0.5211627315094032,67.02526648243189,0.49393101835103925
9wjsbfck,20241113,BLNN,drop_edge_extended,twitch-de,degree,1.204547669473768,0.001147783171118223,1.279373807433518,0.0012492537398932878,59.52726745605469,59.44343948364258,59.40092849731445,59.84944152832031,59.73258209228515,59.59807205200195,1150.750699744,1999,1731469350.385958,{'runtime': 1151},66.50019739439401,0.4228987742665485,62.550023511025024,0.6787057840677623,"[[0.5702386554848241, 0.630173706452876], [0.2203361952825275, 0.9513219262030006]]",0.3666509346963888,0.022370667144923646,0.5920097968998675,0.027531473927420003,1999,65.14937718527263,0.6406766036924327,0.33251913227258806,0.02330334535547359,-0.38283270597457886,-0.9758085012435912,0.5929757952690125,0.0,65.65299249466263,0.4693512811689256,66.50019739439401,0.4228987742665485
co6k7e77,20241113,BLNN,drop_edge_weighted_extended,twitch-de,degree,1.1916142941030006,0.0,1.2852518446275851,0.0,59.96735763549805,59.81719970703125,59.71677780151367,60.28110885620117,60.202152252197266,59.916561126708984,1148.211234147,1999,1731470507.5753293,{'runtime': 1149},66.80089485458613,0.3727590449383778,62.798785420270455,0.5185062162976666,"[[0.5538594625269397, 0.6469956494000908], [0.24746428819623484, 0.9471989831485648]]",0.33896116553155586,0.025251097150670077,0.6184414038675143,0.027345176390889677,1999,65.43361400462543,0.5285006266839046,0.30265190747208504,0.026591488370395502,-0.3226235508918762,-0.9476114511489868,0.6249879002571106,0.0,65.95298946968475,0.4111914117347886,66.80089485458613,0.3727590449383778
ti2i0hak,20241113,BLNN,drop_edge,twitch-de,eigen,1.2875924415259306,0.0,1.3336603328850505,0.0,59.37249755859375,59.1578483581543,59.102970123291016,60.023162841796875,59.89051055908203,59.47699737548828,835.683397288,1999,1731471352.3770242,{'runtime': 836},66.28437952362154,0.4389376524255807,62.067692391539055,0.6765025688751094,"[[0.5479405121099823, 0.6480584267069144], [0.2107197206941372, 0.9516769972260432]]",0.3498025230759391,0.03130215424735703,0.6126819120639453,0.030305521052604152,1999,64.7313437154678,0.7231181690013467,0.3169066250240842,0.03392227161760538,-0.36266446113586426,-0.9612668752670288,0.5986024141311646,0.0,65.37345349262493,0.4554354314685199,66.28437952362154,0.4389376524255807
aof655x5,20241113,BLNN,drop_edge_weighted,twitch-de,eigen,1.085416327574366,0.004137811325256557,1.1513326843838771,0.004171867295804914,59.23457336425781,59.18351364135742,59.12771224975586,59.49147415161133,59.47567367553711,59.275638580322266,829.398589642,1999,1731472190.9771204,{'runtime': 830},66.98381365969206,0.3129916894124836,62.70580876832669,0.6370640554739723,"[[0.5485599148777657, 0.6642603679721317], [0.21905588050388447, 0.9557081531935484]]",0.3420154368488919,0.031426239348593586,0.6211928909467239,0.03419312079689795,1999,65.3855041794426,0.6165453957855535,0.30649719265631414,0.032679683365102026,-0.3869739770889282,-0.9706759452819824,0.5837019681930542,0.0,66.18002612795658,0.3157606646291575,66.98381365969206,0.3129916894124836
lpthraoi,20241113,BLNN,drop_edge_extended,twitch-de,eigen,1.1648253975722211,0.0015055012842994653,1.2373108697249957,0.0016383176693986895,59.39882278442383,59.12626266479492,59.11402130126953,60.002105712890625,59.848384857177734,59.41777038574219,1151.354504469,1999,1731473351.3186927,{'runtime': 1152},66.68574812475325,0.4434906317269241,62.37947807448616,0.6826217312890386,"[[0.5335977802705505, 0.6694163625955184], [0.2310963544991363, 0.9486870081103176]]",0.3235981038693848,0.031082433509601617,0.6381268004240717,0.03453734017800726,1999,65.05564237265908,0.7184308764576487,0.2884572964564548,0.03294431028126372,-0.41380149126052856,-0.9834359884262084,0.5696344971656799,0.0,65.85002757971168,0.4696304786044294,66.68574812475325,0.4434906317269241
0yytofnv,20241113,BLNN,drop_edge_weighted_extended,twitch-de,eigen,0.8943003717999328,0.0003810004378423416,0.9224303432143162,0.00036016506083447544,59.368289947509766,59.01045227050781,58.92345428466797,59.77310943603515,59.72625732421875,59.562538146972656,1146.342511059,1999,1731474506.748651,{'runtime': 1147},66.54888801158046,0.4855433993681176,62.331731897407806,0.7687859408381156,"[[0.5435315415421245, 0.6526007584540168], [0.22512290828017972, 0.9528539422817084]]",0.3417638145499882,0.03327181991436961,0.619860428808378,0.03558895626427389,1999,64.98887279179789,0.7672488113400368,0.30743278669935464,0.034611051866255495,-0.425072968006134,-0.987026870250702,0.5619539022445679,0.0,65.69097261072865,0.5336355710678071,66.54888801158046,0.4855433993681176
45f0hmng,20241113,BLNN,drop_edge,twitch-de,betweenness,1.5043667063326762,1.734723475976807e-16,1.5846198819449284,3.469446951953614e-16,59.41146087646485,59.125606536865234,58.9876823425293,59.9073486328125,59.66098403930664,59.463836669921875,815.470093266,1999,1731475330.9814332,{'runtime': 816},66.36004737465456,0.36288370355461624,62.32445408986885,0.6451683766286115,"[[0.5491926634712663, 0.6452813566357012], [0.23818324967315013, 0.9431266165027412]]",0.3375227571136859,0.03180719614685666,0.6201075198613984,0.03418625740142327,1999,64.95430960391951,0.6197944844855215,0.3030510465763599,0.03311261144035097,-0.40384209156036377,-0.9810984134674072,0.5772563219070435,0.0,65.46469523234354,0.4087657148044617,66.36004737465456,0.36288370355461624
elrrx1ug,20241113,BLNN,drop_edge_weighted,twitch-de,betweenness,1.1388711982849933,0.001462847594220287,1.1654353551022982,0.001478200367318067,59.38829040527344,59.217071533203125,59.06611633300781,60.10212707519531,59.924198150634766,59.62702560424805,813.831252699,1999,1731476153.7969587,{'runtime': 814},66.31793657060139,0.5854554892233639,62.143827747016545,0.9898358685997524,"[[0.5406425255090426, 0.6503173448710704], [0.22939846530133212, 0.9480981757962998]]",0.3369623943500334,0.027096652371599132,0.6231095054520386,0.0298318340071323,1999,64.77205080784611,1.0105843558178946,0.3031048874829256,0.028913437167691333,-0.3533931374549866,-0.9597786664962769,0.6063855290412903,0.0,65.44058864250508,0.6197185943180368,66.31793657060139,0.5854554892233639
4q6r3c6q,20241113,BLNN,drop_edge_extended,twitch-de,betweenness,1.106117194230486,1.734723475976807e-16,1.1347624121940345,1.734723475976807e-16,59.372501373291016,59.035457611083984,59.01189422607422,60.341651916503906,60.061065673828125,59.58228302001953,1143.959595099,1999,1731477307.5291762,{'runtime': 1145},66.46664034741411,0.48977151870820657,62.44821134841657,0.6998576050228409,"[[0.5541908039813581, 0.6442830980008533], [0.23566439991589552, 0.9444283798362696]]",0.3421174987803177,0.03168357421981276,0.6158423165280236,0.031416644943191144,1999,65.08597405181196,0.6845864335770133,0.3074141273919603,0.03386905059651385,-0.37628209590911865,-0.9583410024642944,0.5820589065551758,0.0,65.56713485378104,0.5522103496592841,66.46664034741411,0.48977151870820657
3p2hlb5j,20241113,BLNN,drop_edge_weighted_extended,twitch-de,betweenness,1.3892146818542337,0.0,1.4547580040097934,1.734723475976807e-16,58.968204498291016,58.71696472167969,58.53863525390625,59.665191650390625,59.456729888916016,59.003211975097656,1172.172139423,1999,1731478488.750644,{'runtime': 1173},66.23634688774838,0.5041545396133663,62.1616578783005,0.7995297169270853,"[[0.5549701964407329, 0.6359614503755545], [0.21984530972222505, 0.950274657581887]]",0.3556418311408299,0.02858441376290143,0.6044813438269365,0.027535512158975383,1999,64.80216191324277,0.7738465583426877,0.3225432207089364,0.03088294347124967,-0.370603084564209,-0.9696508646011353,0.5990477800369263,0.0,65.31082872018355,0.5564044253684998,66.23634688774838,0.5041545396133663
